pais,product_id,total_vendido
United States,b'\x00\xd4\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xd5\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xd7\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xd9\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xdf\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xe3\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xea\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xec\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xed\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xf0\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xf1\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xf4\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xf7\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xf8\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xf8\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x00\xfa\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x00\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x00\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x02\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x06\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x0c\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x10\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x11\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x12\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x13\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x15\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x16\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x17\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x18\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x1b\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x1d\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x1d\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x1e\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x1f\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01 \x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01 \x02\x00\x00\x00\x00\x00',0.0
United States,b'\x01!\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01%\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01(\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01+\x00\x00\x00\x00\x00\x00',0.0
United States,"b'\x01,\x01\x00\x00\x00\x00\x00'",0.0
United States,b'\x011\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x012\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x014\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x015\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x017\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x018\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01<\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01?\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01@\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01B\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01G\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01I\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01J\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01L\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01N\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01O\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01O\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01Q\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01R\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01S\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01^\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01l\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01l\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01n\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01s\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01v\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01w\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01x\x00\x00\x00\x00\x00\x00',0.0
